URL,Year,School,Conf,Class,Pos,G,college_solo_tackles,college_assisted_tackle,college_total_tackles,college_tackles_for_loss,college_sk,college_int,college_int_yds,college_int_td,college_passes_defended,college_fumbles_recov,college_fumbles_recov_yds,college_fumbles_recov_td,college_fumbles_forced
https://www.sports-reference.com/cfb/players/keith-kelsey-1.html,,Louisville,ACC,,,49.0,180.0,128.0,308.0,23.0,10.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/ken-ekanem-1.html,,Virginia Tech,ACC,,,41.0,65.0,66.0,131.0,34.0,22.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/kendell-beckwith-1.html,,LSU,SEC,,,44.0,124.0,139.0,263.0,24.5,7.5,1.0,29.0,1.0,8.0,3.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/kevin-davis-3.html,,Colorado State,MWC,,,37.0,140.0,117.0,257.0,27.0,7.0,2.0,17.0,0.0,5.0,2.0,1.0,1.0,4.0
https://www.sports-reference.com/cfb/players/kevin-king-5.html,,Washington,Pac-12,,,43.0,103.0,61.0,164.0,9.5,0.0,6.0,6.0,0.0,22.0,2.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/larry-ogunjobi-1.html,,Charlotte,CUSA,,,24.0,68.0,59.0,127.0,29.0,5.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/leon-mcquay-iii-1.html,,USC,Pac-12,,,42.0,83.0,40.0,123.0,6.5,1.0,5.0,56.0,0.0,16.0,2.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/malik-hooker-1.html,,Ohio State,Big Ten,,,19.0,49.0,35.0,84.0,5.5,0.5,7.0,181.0,3.0,4.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/malik-mcdowell-1.html,,Michigan State,Big Ten,,,32.0,50.0,38.0,88.0,24.5,7.5,1.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/marcus-maye-1.html,,Florida,SEC,,,40.0,121.0,84.0,205.0,6.5,1.0,5.0,37.0,0.0,16.0,2.0,0.0,0.0,6.0
https://www.sports-reference.com/cfb/players/marcus-williams-9.html,,Utah,Pac-12,,,34.0,125.0,63.0,188.0,4.0,0.0,11.0,114.0,0.0,8.0,2.0,0.0,0.0,4.0
https://www.sports-reference.com/cfb/players/marlon-humphrey-1.html,,Alabama,SEC,,,29.0,61.0,20.0,81.0,6.5,0.0,5.0,46.0,1.0,13.0,0.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/marquel-lee-1.html,,Wake Forest,ACC,,,46.0,143.0,148.0,291.0,41.0,14.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
https://www.sports-reference.com/cfb/players/marquez-white-1.html,,Florida State,ACC,,,31.0,49.0,16.0,65.0,5.0,0.0,4.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/marshon-lattimore-1.html,,Ohio State,Big Ten,,,16.0,34.0,11.0,45.0,1.0,0.0,4.0,61.0,1.0,11.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/matt-milano-1.html,,Boston College,ACC,,,36.0,107.0,33.0,140.0,32.5,14.0,1.0,19.0,1.0,6.0,5.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/mike-tyson-2.html,,Cincinnati,American,,,39.0,72.0,65.0,137.0,7.5,0.0,7.0,134.0,0.0,11.0,1.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/montae-nicholson-1.html,,Michigan State,Big Ten,,,37.0,109.0,91.0,200.0,4.5,0.0,4.0,70.0,0.0,4.0,3.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/montravius-adams-1.html,,Auburn,SEC,,,49.0,77.0,70.0,147.0,19.5,10.5,2.0,43.0,0.0,3.0,3.0,0.0,1.0,3.0
https://www.sports-reference.com/cfb/players/myles-garrett-1.html,,Texas A&M,SEC,,,34.0,81.0,60.0,141.0,47.0,31.0,1.0,4.0,0.0,5.0,1.0,0.0,0.0,7.0
